district,block,cluster,code,name,genre
dharwad,Hubli-Dharwad urban,Madarmaddi,36372,Kumbar Oni,Anganwadi
bangalore,sumangali seva ashrama,dodda banaswadi,30322,M.R.S.PALYA 2,Anganwadi
gadag,mundaragi,hirawaddatti,36853,GHPS BASAPUR,Upper Primary
gadag,mundaragi,meundi,36871,GHPS MEUNDI,Upper Primary
koppal,kustagi,thavaragera,36801,GLPS MALLIKARJUNANAGAR TAVARGERA,Lower Primary
bangalore,south-1,k gollahalli,31983,GKLPS GANGASANDRA,Lower Primary
bangalore rural,hosakote,bilanarasapura,35927,G LPS MARASANDAHALLI,Lower Primary
bangalore,bangalore south(banashankari),k.r.puram,31429,RACHENAHALLI,Anganwadi
gadag,mundaragi,kadampur,36855,GHPS ATTIKATTI,Upper Primary
gadag,mundaragi,kadampur,36857,GHPS CHURCHIHAL,Upper Primary
gadag,mundaragi,mundaragi urdu,36897,GHPUS DAMBAL,Upper Primary
koppal,kustagi,chalageri,20142,	GHPS TALUGERA	,Upper Primary
bangalore,bangalore south(banashankari),kaggalipura,30219,GIRI GOWDANA DODDI,Anganwadi
bangalore,bangalore north (yelahanka),baglur,31281,HOSAHALLI  M,Anganwadi
dharwad,Hubli-Dharwad urban,Madarmaddi,36371,Hembli Oni,Anganwadi
koppal,kustagi,hanumasagar,20195,	GMHPS YARAGERA	,Model Primary
koppal,kustagi,chalageri,20194,GHPS YALEBUNACHI,Upper Primary
bangalore,bangalore central,netaji 2nd circle,34061,NAGARKALU,Anganwadi
bangalore rural,hosakote,bilanarasapura,35916,G HPS KORATI,Upper Primary
bangalore rural,hosakote,thavarekere,35940,G LPS BANAMAKANAHALLI,Lower Primary
koppal,kustagi,chalageri,20194,GHPS YALEBUNACHI,Upper Primary
bangalore rural,devanahalli,boodigere,36177,GKLPS HITTARAHALLI,Lower Primary
bangalore,north-2,jalahalli,32162,GKMPS JALAHALLI,Model Primary
bangalore rural,hosakote,samethanahalli,35974,G HPS NADUVATTI,Upper Primary
bangalore rural,hosakote,jadigenahalli,35965,G LPS BELAMANGALA,Lower Primary
bangalore,north-4,agrahara layout,33222,GKMPS AGRAHARA LAYOUT,Model Primary
bangalore rural,hosakote,t agrahara,36242,GLPS SHASHIMAKANA HALLI,Lower Primary
koppal,kustagi,adavibhavi,20139,	GHPS MUDUTAGI	,Upper Primary
bangalore,anekal,anekal,32083,GKHPS  ANEKAL,Upper Primary
koppal,kustagi,jumalapur,20210,	GLPS MYADARDOKKI TANDA	,Lower Primary
koppal,kustagi,hiregonnagar,20295,	GLPS CHIKKAGONNAGAR	,Lower Primary
koppal,kustagi,adavibhavi,20137,	GLPS MALKAPUR	,Lower Primary
bangalore,north-3,kaval byrasandra,33153,GTLPS ASHOK NAGAR,Lower Primary
bangalore rural,hosakote,jadigenahalli,35957,G HPS ATTHIVATTA,Upper Primary
bangalore rural,hosakote,devanagundi,35998,G LPS MEDIMALLASANDRA,Lower Primary
koppal,kustagi,chalageri,20128,	LPS BENAKANAL ROAD CHALIGERI	,Lower Primary
bangalore,bangalore north (yelahanka),agrahara layout,33828,SRINIVASPURA,Anganwadi
koppal,kustagi,killarhatti,20221,	GHPS KALAMALLI	,Upper Primary
bangalore rural,hosakote,kalkunte,36113,G LPS THATTANUR,Lower Primary
gadag,mundaragi,mundaragi east,36880,GLPS SSP NAGAR MUNDARAGI,Lower Primary
bangalore,bangalore north (yelahanka),baglur,31504,B.K.H.PALYA,Anganwadi
bangalore rural,hosakote,kalkunte,36116,G HPS GUNDURU,Upper Primary
bangalore rural,hosakote,t agrahara,36238,GUHPS THAMMARASANAHALLI,Upper Primary
bangalore rural,devanahalli,devanahalli,36740,GKLPS SOUTHEGOWDANAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,HDMC,36605,Hebbali agasi-2,Anganwadi
bangalore,bangalore north (yelahanka),gopalapura,30767,THARABANAHALLI,Anganwadi
bangalore rural,hosakote,vagata,36104,G HPS KHAJI HOSAHALLI,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36339,Dundi Oni,Anganwadi
bangalore rural,hosakote,doddanallala,35960,G LPS DODDATHAGGALI,Lower Primary
gadag,mundaragi,mundaragi city west,36877,GMCS MUNDARAGI,Model Primary
bangalore,bangalore central,netravathi,30350,DRAUPADI DHARMARAYA DEVASTHANA,Anganwadi
koppal,kustagi,chalageri,20142,	GHPS TALUGERA	,Upper Primary
bangalore rural,hosakote,jadigenahalli,36297,GKHPS KATTIGENAHALLI,Upper Primary
bangalore,north-2,hebbal,32031,GULPS BHUVANESHWARI NAGAR,Lower Primary
gadag,mundaragi,bagewadi,36832,GHPS GUDDADBUDIHAL,Upper Primary
koppal,kustagi,kustagi,20291,	GHPS NEREBENCHI	,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36335,Kalli Oni-2,Anganwadi
bangalore,south-1,mallathahalli,33028,GKHPS MARIYAPPANAPALYA,Upper Primary
bangalore rural,hosakote,doddanhulluru,36201,GHPS SOMAPURA,Model Primary
koppal,kustagi,hiregonnagar,20310,	GLPS VARIKAL	,Lower Primary
koppal,kustagi,sanghanal,20252,	GLPS GANGANHAL .S	,Lower Primary
bangalore rural,hosakote,nandagudi,36084,G LPS CHOKKASANDRA,Lower Primary
bangalore,bangalore north (yelahanka),abbigere,31226,VARADARAJANAGARA,Anganwadi
bangalore,south-2,kalasipalya,32439,GKHPS G.R.GALLI,Upper Primary
bangalore rural,devanahalli,devanahalli,36757,GKLPS NEERAGANTE PALYA,Lower Primary
koppal,kustagi,kustagi,20245,	GLPS INDIRANAGARA KUSTAGI	,Lower Primary
koppal,kustagi,hoolagera,20315,	GHPS  HUCHANUR	,Upper Primary
bangalore,sumangali seva ashrama,dodda banaswadi,30310,C.S.I.,Anganwadi
koppal,kustagi,hanumasagar,20182,	GGIRLS HPS HANUMASAGAR	,Upper Primary
bangalore,anekal,attibele,32228,GKLPS MUTHASANDRA,Lower Primary
bangalore rural,hosakote,t agrahara,36240,GHPS T AGRAHARA,Upper Primary
gadag,mundaragi,mundaragi urdu,36894,GHPUBS MUNDARAGI,Upper Primary
bangalore,bangalore north (yelahanka),chikkajala,34005,SHETTI GERE II,Anganwadi
bangalore,anekal taluk,ballur,33614,KAMBALIPURA,Anganwadi
bangalore rural,hosakote,t agrahara,36241,GHPS BAVAPURA,Upper Primary
bangalore rural,hosakote,shivanapura,36050,G LPS CT GOLLAHALLI,Lower Primary
koppal,kustagi,bijakal,36804,GHPS VANAGERI,Upper Primary
bangalore rural,devanahalli,sadahalli,36755,GKHPS SINGARAHALLI,Model Primary
koppal,kustagi,nilogal,20160,	GHPS BASSAPUR	,Upper Primary
koppal,kustagi,killarhatti,20219,	GHPS GARAJANHAL	,Upper Primary
bangalore rural,hosakote,beguru,35893,G LPS BAGALURU,Lower Primary
bangalore,bangalore central,kithuru rani channamma 3rd circle,31469,SIDDARATHANAGAR  2,Anganwadi
gadag,mundaragi,petalur,36904,GHPGS PETAALUR,Upper Primary
bangalore,south-1,sunkadakatte jantha colony,33053,GKHPS CHANNENAHALLI,Lower Primary
bangalore rural,devanahalli,nalluru,36731,GKHPS BALEPURA,Model Primary
bangalore,north-3,kaval byrasandra,33151,GKLPS ASHOK NAGAR,Lower Primary
bangalore,bangalore north (yelahanka),sonnenahali,31250,BYATHA,Anganwadi
bangalore rural,devanahalli,channahalli,36747,GKHPS BETTAKOTE,Upper Primary
gadag,mundaragi,mundaragi rural,36827,GHPS NAGARAHALLI,Upper Primary
koppal,kustagi,jumalapur,20212,	GLPS RAMPUR.J	,Lower Primary
bangalore rural,hosakote,doddanhulluru,36225,GHPS KURUBARAHALLI,Upper Primary
koppal,kustagi,nilogal,20168,	GHPS MITTALAKOD	,Upper Primary
bangalore,bangalore north (yelahanka),sonnenahali,33876,NAGENA HALLI,Anganwadi
koppal,kustagi,chalageri,20128,	LPS BENAKANAL ROAD CHALIGERI	,Lower Primary
bangalore rural,hosakote,beguru,35902,G HPS MALLIMAKANAPURA,Upper Primary
bangalore,north-4,chikkajala,33255,GKLPS HUTTANAHALLI,Lower Primary
bangalore,sumangali seva ashrama,dodda banaswadi,30296,MUNESHWARA NAGARA,Anganwadi
bangalore rural,hosakote,vagata,36088,G MPS THARABAHALLI,Model Primary
bangalore rural,hosakote,nandagudi,36085,G LPS KONDRAHALLI,Lower Primary
gadag,mundaragi,shingtalur,36908,GHPS SHEERNAHALLI,Upper Primary
bangalore rural,hosakote,doddanhulluru,36219,GHPS DODDAHULLUR,Upper Primary
koppal,kustagi,hanumasagar,20192,	GHPS MAVINAITAGI	,Upper Primary
bangalore,bangalore south(banashankari),begure,30218,DAVARACHIKKANAHALLI,Anganwadi
koppal,kustagi,menedhal,20250,	GLPS CHIKKAMUKARTHINHAL	,Lower Primary
bangalore,sumangali seva ashrama,dodda banaswadi,30311,CHELEKERE,Anganwadi
koppal,kustagi,hanumasagar,20185,	GHPS KURABAGERI HANUMASAGAR	,Upper Primary
bangalore,bangalore state,yashwanthpura,29699,AMBEDKARNAGARA 1(WARD NO 3),Anganwadi
dharwad,Hubli-Dharwad urban,Madarmaddi,36328,Rahanatpur,Anganwadi
dharwad,Hubli-Dharwad urban,HDMC,36608,Doragalli-3,Anganwadi
bangalore,south-3,byarsandra,32145,GKHPS LAKKASANDRA,Upper Primary
dharwad,Hubli-Dharwad urban,Purohit Nagar,36467,Navalur Chavani,Anganwadi
gadag,mundaragi,korlahalli,36868,GHPS KORLHALLI,Upper Primary
koppal,kustagi,jumalapur,20196,	GLPS ADAVIBHAVI	,Lower Primary
bangalore,north-4,agrahara layout,33218,GKHPS KOGILU,Upper Primary
bangalore,north-4,hesarghatta,32376,GKLPS KONDASHETTIHALLI,Lower Primary
bangalore,south-4,doddakanneli,32197,GKLPS KASAVANAHALLI,Lower Primary
gadag,mundaragi,mundaragi urdu,36898,GLPUS EKLASPUR,Lower Primary
koppal,kustagi,koradakera,20331,	GLPS CHIKKANANDYAL	,Lower Primary
bangalore rural,hosakote,alappanahalli,36129,G HPS ALAPPANAHALLI,Upper Primary
koppal,kustagi,hanumasagar,20183,	GHPS HARIJANWADA HANUMASAGAR	,Upper Primary
bangalore,north-4,byatarayanapura,32182,GUHPS JAKKUR,Upper Primary
koppal,kustagi,thavaragera,20229,	G.URDU HPS TAVARAGERA	,Upper Primary
dharwad,Hubli-Dharwad urban,HFWTC,36301,Siddarameshwarnagar,Anganwadi
bangalore rural,devanahalli,boodigere,36180,GKHPS HANDARAHALLI,Upper Primary
bangalore,bangalore north (yelahanka),agrahara layout,30867,SRIRAMPURA,Anganwadi
gadag,mundaragi,mundaragi rural,36888,GHPS MUKTUMPUR,Upper Primary
koppal,kustagi,koradakera,20334,	GLPS SC COLONY HIREBANNIGOL	,Lower Primary
bangalore,bangalore north (yelahanka),chikkajala,31268,KOLIPURA,Anganwadi
bangalore,north-1,mallasandra,33281,GKHPS KAMMAGONDANAHALLI,Upper Primary
gadag,mundaragi,hirawaddatti,36849,GHPS BUDIHAL,Upper Primary
koppal,kustagi,adavibhavi,20130,	GHPS HANUMAGIRI	,Upper Primary
gadag,mundaragi,petalur,36899,GHPGS SHIRUR,Upper Primary
bangalore,bangalore north (yelahanka),baglur,30886,RAZZAQ PALYA 2,Anganwadi
gadag,mundaragi,mundaragi urdu,36893,GLPUS HIREWADDATTI,Lower Primary
koppal,kustagi,hoolagera,20323,	GLPS KATAPUR J.BADAVANE	,Lower Primary
koppal,kustagi,kustagi,20243,	GLPS  GANDINAGAR  KUSTAGI	,Lower Primary
bangalore,bangalore north (yelahanka),chikkajala,31506,NAVARATHNA AGRAHARA,Anganwadi
bangalore,bangalore north (yelahanka),gopalapura,30746,TAMARASANAHALLI,Anganwadi
koppal,kustagi,nilogal,20168,	GHPS MITTALAKOD	,Upper Primary
bangalore rural,hosakote,nandagudi,36086,G LPS NADUVINAPURA,Lower Primary
bangalore,north-4,bagalur,32052,GULPS BUDAN SAB PALYA,Lower Primary
koppal,kustagi,koradakera,20329,	GLPS BISNHAL	,Lower Primary
koppal,kustagi,mudenur,20216,	GHPS TEGGIHAL	,Upper Primary
gadag,mundaragi,mundaragi urdu,36890,GLPUS PETAALUR,Lower Primary
bangalore rural,hosakote,thavarekere,35942,G LPS PUJARAMANAHALLI,Lower Primary
koppal,kustagi,koradakera,20337,	GCHPS KORADAKERI	,Upper Primary
dharwad,Hubli-Dharwad urban,HFWTC,36632,Ramligeshwar nagar -5,Anganwadi
bangalore rural,devanahalli,devanahalli,36759,GKHPS NEELEARI,Upper Primary
koppal,kustagi,koradakera,20337,	GCHPS KORADAKERI	,Upper Primary
gadag,mundaragi,mundaragi city west,36876,GLPS BYALAWADAGI(MUNDARAGI),Lower Primary
bangalore,bangalore south(banashankari),thavare kere,30505,KURUBARAHALLI,Anganwadi
dharwad,Hubli-Dharwad urban,HDMC,36620,Baraimam galli -1(Balajimath ),Anganwadi
bangalore,south-2,kalasipalya,32440,GNTKHPS  ANJANAPPA GARDEN,Lower Primary
gadag,mundaragi,meundi,36824,GHPS BARADUR,Model Primary
bangalore,north-1,peenya,33299,GKHPS COOLI NAGARA,Upper Primary
bangalore rural,hosakote,thavarekere,35932,G ULPS YELACHAHALLI,Lower Primary
bangalore,south-4,jodi huskur,33358,GKLPS NIMBEKAIPURA,Lower Primary
koppal,kustagi,hiremannapur,20279,	GHPS HANCHINHAL	,Upper Primary
bangalore rural,hosakote,nandagudi,36081,G HPS N.HOSAHALLI,Upper Primary
gadag,mundaragi,mundaragi urdu,36895,GHPUS KALAKERI,Lower Primary
gadag,mundaragi,mundaragi urdu,36892,GHPUGS MUNDARAGI,Upper Primary
bangalore rural,hosakote,mugbala,36206,GHPS KOMBALIGANAHALLI,Upper Primary
bangalore rural,hosakote,kalkunte,36109,G HPS NARAYANA KERE,Upper Primary
koppal,kustagi,chalageri,20144,	GURDULPS YALABUNACHI	,Lower Primary
bangalore rural,hosakote,sulibele,35883,GKHPS YANAGUNTE,Upper Primary
koppal,kustagi,kustagi,20243,	GLPS  GANDINAGAR  KUSTAGI	,Lower Primary
bangalore,sumangali seva ashrama,kodihalli,30640,SUDHAMANAGAR 2,Anganwadi
koppal,kustagi,hanumasagar,20179,	GLPS CHANDRAGIRI	,Lower Primary
koppal,kustagi,hoolagera,20326,	GHPS SEBINAKATTI	,Upper Primary
koppal,kustagi,hoolagera,20316,	GMHPS HULAGERI	,Upper Primary
koppal,kustagi,bijakal,20273,	GHPS BIJAKAL	,Upper Primary
bangalore,south-2,kalasipalya,32442,GKMPS SULTHANPET,Model Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36377,Kalli Oni-1,Anganwadi
bangalore,sumangali seva ashrama,sultanpalya,30351,ROSHAN NAGAR-2,Anganwadi
bangalore rural,hosakote,bendiganahalli,36027,G LPS BALENAHALLI,Lower Primary
bangalore rural,devanahalli,sadahalli,36729,GKLPS BHOVI PALYA,Model Primary
bangalore rural,hosakote,doddanallala,35959,G HPS OROHALLI,Upper Primary
bangalore,south-4,bidrahalli,32839,GKHPS DODDAGUBBI,Upper Primary
koppal,kustagi,hiremannapur,20288,	GLPS NAGARAL	,Lower Primary
koppal,kustagi,adavibhavi,20138,	GHPS MIYYAPUR	,Upper Primary
bangalore rural,hosakote,thavarekere,35941,G LPS GANGAPURA,Lower Primary
bangalore,bangalore north (yelahanka),rajanakunte,33830,POTTENAHALLI,Anganwadi
bangalore,south-1,somanahalli,32730,GKHPS SOMANAHALLI,Upper Primary
bangalore,sumangali seva ashrama,murphy town,36558,WAHAB GARDEN,Model Primary
bangalore rural,hosakote,kalkunte,36118,G LPS MARANAGERE,Lower Primary
bangalore,bangalore south(banashankari),doddakannelli,33783,DEVARA BESANAHALLI,Anganwadi
bangalore,bangalore south(banashankari),kengeri circle,36412,KODIPALYA,Anganwadi
koppal,kustagi,kustagi,20245,	GLPS INDIRANAGARA KUSTAGI	,Lower Primary
gadag,mundaragi,mundaragi urdu,36892,GHPUGS MUNDARAGI,Upper Primary
bangalore,sumangali seva ashrama,kodihalli,30640,SUDHAMANAGAR 2,Anganwadi
gadag,mundaragi,hirawaddatti,36850,GHPGS HIREWADDATTI,Upper Primary
bangalore,bangalore south(banashankari),k.r.puram,33966,KOTHANUR,Anganwadi
bangalore rural,devanahalli,sadahalli,36763,GKLPS ILATHORE,Lower Primary
koppal,kustagi,chalageri,20142,	GHPS TALUGERA	,Upper Primary
bangalore,north-4,kodigehalli,33206,GKLPS KUVEMPUNAGARA,Lower Primary
koppal,kustagi,chalageri,20178,	GHPS BENAKANHALI	,Upper Primary
bangalore rural,hosakote,beguru,35892,G LPS SONNEBACHANAHALLI,Lower Primary
bangalore rural,hosakote,doddanallala,36233,GHPS THAVATAHALLI,Upper Primary
bangalore rural,hosakote,doddagattinabbe,36209,GKHPS KODIHALLI,Upper Primary
dharwad,Hubli-Dharwad urban,HFWTC,36512,Indra nagar,Anganwadi
bangalore rural,hosakote,kalkunte,36112,G LPS MUTHUKADAHALLI,Lower Primary
gadag,mundaragi,mundaragi urdu,36897,GHPUS DAMBAL,Upper Primary
bangalore,sumangali seva ashrama,kodihalli,30404,BENNIGANA HALLI,Anganwadi
bangalore,sumangali seva ashrama,kodihalli,30949,NAGASANDRA,Anganwadi
bangalore,bangalore central,sir m vishweshwariah 1st circle,31404,ROUSHAN NAGAR,Anganwadi
bangalore,bangalore state,yw circle,29664,AMBEDEKAR NAGAR(SHRI RAMPURA 2),Anganwadi
koppal,kustagi,killarhatti,20223,	GHPS KIDADUR	,Upper Primary
gadag,mundaragi,mundaragi city west,36878,GHPGS MUNDARAGI,Upper Primary
bangalore rural,hosakote,bendiganahalli,36030,G LPS CHIKKA ARALAGERE,Lower Primary
gadag,mundaragi,petalur,36899,GHPGS SHIRUR,Upper Primary
bangalore,north-1,sondekoppa,33306,GKLPS HUNNIGERE (SONDEKOPPA),Lower Primary
gadag,mundaragi,petalur,36907,GMCS JANTLI SHIRUR,Model Primary
bangalore,bangalore north (yelahanka),kadugondanahalli,31507,LINGARAJAPURA B BLOCK,Anganwadi
koppal,kustagi,hanumasagar,20186,YYY GOVT HPS KALLONI HANAMSAGAR,Upper Primary
bangalore,south-1,ramohalli,32537,GKLPS BHEEMANAKUPPE,Lower Primary
bangalore rural,hosakote,nandagudi,36084,G LPS CHOKKASANDRA,Lower Primary
koppal,kustagi,sanghanal,20262,	GLPS KANNAL	,Lower Primary
koppal,kustagi,nilogal,20160,	GHPS BASSAPUR	,Upper Primary
koppal,kustagi,hiremannapur,20280,	GMHPS HIREMANNAPUR	,Model Primary
bangalore rural,hosakote,hosakote town,36016,G LPS AMBEDKER NAGARA,Lower Primary
bangalore,north-4,yelehanka new town,32888,GKLPS LBS NAGARA,Lower Primary
bangalore,north-1,chikkabidarakallu,32156,GKLPS MUNISWAMAPPA BADAVANE,Lower Primary
gadag,mundaragi,shingtalur,36914,GHPS HAMMIGI,Upper Primary
bangalore,bangalore central,Manjunatheshwar circle-7,30774,OKLIPURA 2,Anganwadi
gadag,mundaragi,bagewadi,36836,GHPS CHIKKAWADDATTI,Upper Primary
bangalore rural,hosakote,kalkunte,36109,G HPS NARAYANA KERE,Upper Primary
bangalore,bangalore north (yelahanka),kadugondanahalli,33800,LINGRAJPURAM  3,Anganwadi
dharwad,Hubli-Dharwad urban,HFWTC,36489,Ramligeshwar nagar -3,Anganwadi
bangalore rural,hosakote,vagata,36102,G LPS DODDADASARAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,HFWTC,36520,Giranichal-3,Anganwadi
bangalore rural,hosakote,shivanapura,36051,G HPS MALIYAPPANAHALLI,Upper Primary
gadag,mundaragi,bidaralli,36839,GHPS VITHALAPUR,Upper Primary
koppal,kustagi,hiremannapur,20275,	GHPS  GANGANHAL .G	,Upper Primary
koppal,kustagi,hanumasagar,20185,	GHPS KURABAGERI HANUMASAGAR	,Upper Primary
bangalore,north-1,kurubarahalli,32568,GUHPS KURUBARAHALLI,Upper Primary
bangalore,bangalore south(banashankari),kaggalipura,29651,RAVUGODLU,Anganwadi
bangalore,bangalore central,sir m vishweshwariah 1st circle,30427,SANJAYNAGAR 1,Anganwadi
bangalore rural,hosakote,doddanhulluru,36219,GHPS DODDAHULLUR,Upper Primary
bangalore rural,hosakote,jadigenahalli,35971,G HPS KOLATHURU,Upper Primary
bangalore,bangalore south(banashankari),uttrahalli,31486,VAJARAHALLI(UTTRAHALLI),Anganwadi
koppal,kustagi,chalageri,20135,	GHPS KALALBANDI	,Upper Primary
gadag,mundaragi,hirawaddatti,36850,GHPGS HIREWADDATTI,Upper Primary
bangalore,north-4,rajanakunte,32782,GKMPS BETTAHALASURU,Upper Primary
koppal,kustagi,mudenur,20202,	GHPS JALIHAL	,Upper Primary
koppal,kustagi,thavaragera,20233,	GLPS Narahari Badavane Tavaragera	,Lower Primary
bangalore rural,hosakote,vagata,36106,G LPS KAMARASANAHALLY,Lower Primary
bangalore rural,hosakote,vagata,36104,G HPS KHAJI HOSAHALLI,Upper Primary
bangalore,sumangali seva ashrama,kodihalli,30952,JEEVANBHIMANAGAR,Anganwadi
koppal,kustagi,nilogal,20160,	GHPS BASSAPUR	,Upper Primary
gadag,mundaragi,petalur,36829,GLPS PETALUR(DPEP),Lower Primary
bangalore,bangalore central,kuvempunagar 4th circle,31295,RAMACHANDRAPURA 1,Anganwadi
koppal,kustagi,hanumasagar,20192,	GHPS MAVINAITAGI	,Upper Primary
